2024-12-30 19:36:37
Mean success rate: 0.2951666666666667
Evaluation 124 success rate: 0.9913333333333333
Evaluation 125 success rate: 1.0
Evaluation 126 success rate: 1.0
Evaluation 127 success rate: 1.0
Evaluation 128 success rate: 1.0
Evaluation 129 success rate: 0.9236666666666666
Evaluation 130 success rate: 0.8676666666666667
Evaluation 131 success rate: 0.7783333333333333
Evaluation 132 success rate: 1.0
Evaluation 133 success rate: 0.8396666666666667
Evaluation 134 success rate: 0.6833333333333333
Evaluation 135 success rate: 1.0
Evaluation 136 success rate: 0.853
Evaluation 137 success rate: 0.8953333333333333
Evaluation 138 success rate: 1.0
Evaluation 139 success rate: 1.0
Evaluation 140 success rate: 1.0
Evaluation 141 success rate: 0.996
Evaluation 142 success rate: 1.0
Evaluation 143 success rate: 1.0
Evaluation 144 success rate: 1.0
Evaluation 145 success rate: 0.996
Evaluation 146 success rate: 0.9943333333333333
Evaluation 147 success rate: 0.9816666666666667
Evaluation 148 success rate: 0.9873333333333333
Evaluation 149 success rate: 0.9943333333333333
Evaluation 150 success rate: 1.0
Evaluation 151 success rate: 0.8323333333333334
Evaluation 152 success rate: 0.9086666666666666
Evaluation 153 success rate: 1.0
Evaluation 154 success rate: 0.781
Evaluation 155 success rate: 0.8363333333333334
Evaluation 156 success rate: 0.44166666666666665
Evaluation 157 success rate: 0.9096666666666666
Evaluation 158 success rate: 0.717
Evaluation 159 success rate: 1.0
Evaluation 160 success rate: 0.9853333333333333
Evaluation 161 success rate: 0.9916666666666667
Evaluation 162 success rate: 0.997
Evaluation 163 success rate: 0.9956666666666667
Evaluation 164 success rate: 1.0
Evaluation 165 success rate: 1.0
Evaluation 166 success rate: 1.0
Evaluation 167 success rate: 1.0
Evaluation 168 success rate: 0.9346666666666666
Evaluation 169 success rate: 0.8803333333333333
Evaluation 170 success rate: 1.0
Evaluation 171 success rate: 0.994
Evaluation 172 success rate: 0.8783333333333333
Evaluation 173 success rate: 0.9343333333333333
Evaluation 174 success rate: 0.9923333333333333
Evaluation 175 success rate: 0.9693333333333334
Evaluation 176 success rate: 0.957
Evaluation 177 success rate: 0.7953333333333333
Evaluation 178 success rate: 0.682
Evaluation 179 success rate: 0.8546666666666667
Evaluation 180 success rate: 0.665
Evaluation 181 success rate: 0.896
Evaluation 182 success rate: 0.8823333333333333
Evaluation 183 success rate: 0.996
Evaluation 184 success rate: 0.9966666666666667
Evaluation 185 success rate: 0.9973333333333333
Evaluation 186 success rate: 0.606
Evaluation 187 success rate: 0.9936666666666667
Evaluation 188 success rate: 1.0
Evaluation 189 success rate: 1.0
Evaluation 190 success rate: 0.8296666666666667
Evaluation 191 success rate: 0.9863333333333333
Evaluation 192 success rate: 1.0
Evaluation 193 success rate: 1.0
Evaluation 194 success rate: 0.6323333333333333
Evaluation 195 success rate: 1.0
Evaluation 196 success rate: 0.6333333333333333
Evaluation 197 success rate: 1.0
Evaluation 198 success rate: 0.6383333333333333
Evaluation 199 success rate: 1.0
Evaluation 200 success rate: 1.0
Evaluation 201 success rate: 1.0
Evaluation 202 success rate: 0.996
Evaluation 203 success rate: 0.7793333333333333
Evaluation 204 success rate: 0.9806666666666667
Evaluation 205 success rate: 0.711
Evaluation 206 success rate: 1.0
Evaluation 207 success rate: 0.9876666666666667
Evaluation 208 success rate: 0.999
Evaluation 209 success rate: 1.0
Evaluation 210 success rate: 1.0
Evaluation 211 success rate: 1.0
Evaluation 212 success rate: 0.9996666666666667
Evaluation 213 success rate: 0.9506666666666667
Evaluation 214 success rate: 1.0
Evaluation 215 success rate: 0.9693333333333334
Evaluation 216 success rate: 1.0
Evaluation 217 success rate: 0.9406666666666667
Evaluation 218 success rate: 0.9763333333333334
Evaluation 219 success rate: 0.8846666666666667
Evaluation 220 success rate: 1.0
Evaluation 221 success rate: 1.0
Mean success rate: 0.8952714932126696
2025-03-05 12:21:58
Evaluation 1 success rate: 0.7636666666666667
Evaluation 2 success rate: 0.06566666666666666
Evaluation 3 success rate: 0.356
Evaluation 4 success rate: 0.7723333333333333
Evaluation 5 success rate: 0.39866666666666667
Evaluation 6 success rate: 0.4816666666666667
Evaluation 7 success rate: 0.6793333333333333
Evaluation 8 success rate: 0.699
Evaluation 9 success rate: 0.628
Evaluation 10 success rate: 0.556
Evaluation 11 success rate: 0.6283333333333333
Evaluation 12 success rate: 0.703
Evaluation 13 success rate: 0.6766666666666666
Evaluation 14 success rate: 0.6193333333333333
